Price,Close,High,Low,Open,Volume
Ticker,NDX,NDX,NDX,NDX,NDX
Date,,,,,
2022-02-18,14009.5400390625,14009.5400390625,14009.5400390625,14009.5400390625,0
2022-02-22,13870.5302734375,13870.5302734375,13870.5302734375,13870.5302734375,0
2022-02-23,13509.4296875,13509.4296875,13509.4296875,13509.4296875,0
2022-02-24,13974.669921875,13974.669921875,13974.669921875,13974.669921875,0
2022-02-25,14189.16015625,14189.16015625,14189.16015625,14189.16015625,0
2022-02-28,14237.8095703125,14237.8095703125,14237.8095703125,14237.8095703125,0
2022-03-01,14005.990234375,14005.990234375,14005.990234375,14005.990234375,0
2022-03-02,14243.6904296875,14243.6904296875,14243.6904296875,14243.6904296875,0
2022-03-03,14035.2099609375,14035.2099609375,14035.2099609375,14035.2099609375,0
2022-03-04,13837.830078125,13837.830078125,13837.830078125,13837.830078125,0
2022-03-07,13319.3798828125,13319.3798828125,13319.3798828125,13319.3798828125,0
2022-03-08,13267.599609375,13267.599609375,13267.599609375,13267.599609375,0
2022-03-09,13742.2001953125,13742.2001953125,13742.2001953125,13742.2001953125,0
2022-03-10,13591.0,13591.0,13591.0,13591.0,0
2022-03-14,13046.6396484375,13046.6396484375,13046.6396484375,13046.6396484375,0
2022-03-16,13956.7900390625,13956.7900390625,13956.7900390625,13956.7900390625,0
2022-03-17,14118.599609375,14118.599609375,14118.599609375,14118.599609375,0
